DrugID,DrugName,StockLevel,ExpirationDate,Supplier,DrugID_Original,UnitCost,LeadTimeDays
0001-0001-11,Metformin 5 mg solution,151,02/22/28,AmerisourceBergen,0001-0001-11,7.85,7
0002-0002-22,Sertraline 5 mg inhaler,1841,02/15/29,AmerisourceBergen,0002-0002-22,1.32,7
0003-0003-33,Amoxicillin 250 mg inhaler,215,12/12/28,Cardinal,0003-0003-33,2.83,10
0004-0004-44,Warfarin 250 mg capsule,548,06/14/29,Cardinal,0004-0004-44,9.64,4
0005-0005-55,Fluoxetine 250 mg inhaler,757,05/13/27,Cardinal,0005-0005-55,1.56,5
0006-0006-66,Furosemide 5 mg inhaler,2239,02/16/29,AmerisourceBergen,0006-0006-66,17.47,4
0007-0007-77,Amoxicillin 5 mg inhaler,1465,10/11/28,Cardinal,0007-0007-77,5.22,4
0008-0008-88,Atorvastatin 20 mg capsule,1976,10/13/27,Cardinal,0008-0008-88,7.59,3
0009-0009-99,Losartan 50 mg capsule,2270,02/03/29,McKesson,0009-0009-99,9.88,1
0010-0010-10,Clopidogrel 20 mg inhaler,2232,06/04/28,Cardinal,0010-0010-10,10.44,13
0011-0011-21,Metformin 40 mg tablet,1522,08/27/28,AmerisourceBergen,0011-0011-21,0.09,1
0012-0012-32,Tamsulosin 10 mg capsule,884,05/17/29,Cardinal,0012-0012-32,2.85,12
0013-0013-43,Insulin Glargine 100 mg tablet,1009,06/12/28,Cardinal,0013-0013-43,21.58,1
0014-0014-54,Gabapentin 20 mg inhaler,414,08/04/28,McKesson,0014-0014-54,0.08,11
0015-0015-65,Furosemide 5 mg solution,1471,02/21/29,AmerisourceBergen,0015-0015-65,12.73,5
0016-0016-76,Prednisone 100 mg tablet,1462,11/30/28,Cardinal,0016-0016-76,12.26,7
0017-0017-87,Metformin 500 mg tablet,2430,08/10/28,Cardinal,0017-0017-87,8.36,4
0018-0018-98,Atorvastatin 5 mg solution,474,03/29/29,Cardinal,0018-0018-98,10.81,7
0019-0019-09,Insulin Glargine 40 mg solution,1892,04/02/29,Cardinal,0019-0019-09,19.53,6
0020-0020-20,Clopidogrel 250 mg inhaler,665,07/17/28,Cardinal,0020-0020-20,21.04,7
0021-0021-31,Metformin 100 mg capsule,196,04/26/27,Cardinal,0021-0021-31,6.55,6
0022-0022-42,Insulin Glargine 250 mg inhaler,1001,09/24/28,Cardinal,0022-0022-42,8.1,7
0023-0023-53,Atorvastatin 40 mg capsule,2409,11/16/27,McKesson,0023-0023-53,6.1,11
0024-0024-64,Insulin Glargine 20 mg inhaler,1156,06/25/28,Cardinal,0024-0024-64,12.02,6
0025-0025-75,Albuterol 100 mg tablet,464,12/25/27,AmerisourceBergen,0025-0025-75,17.1,5
0026-0026-86,Lisinopril 10 mg tablet,806,11/21/27,AmerisourceBergen,0026-0026-86,5.74,2
0027-0027-97,Insulin Glargine 10 mg tablet,1736,05/27/29,AmerisourceBergen,0027-0027-97,8.3,5
0028-0028-08,Tamsulosin 50 mg capsule,711,09/04/27,AmerisourceBergen,0028-0028-08,23.26,2
0029-0029-19,Tamsulosin 100 mg inhaler,578,06/19/27,McKesson,0029-0029-19,1.26,3
0030-0030-30,Metformin 5 mg tablet,616,08/04/28,Cardinal,0030-0030-30,11.55,13
0031-0031-41,Levothyroxine 50 mg capsule,204,08/13/28,Cardinal,0031-0031-41,17.8,2
0032-0032-52,Levothyroxine 20 mg tablet,1725,06/02/29,Cardinal,0032-0032-52,3.8,7
0033-0033-63,Hydrochlorothiazide 50 mg inhaler,801,03/21/27,AmerisourceBergen,0033-0033-63,1.23,11
0034-0034-74,Atorvastatin 500 mg solution,764,04/07/29,AmerisourceBergen,0034-0034-74,3.5,13
0035-0035-85,Tamsulosin 5 mg inhaler,821,01/30/29,McKesson,0035-0035-85,22.97,2
0036-0036-96,Furosemide 500 mg solution,1735,08/01/27,AmerisourceBergen,0036-0036-96,0.28,3
0037-0037-07,Prednisone 40 mg solution,2185,01/12/29,McKesson,0037-0037-07,4.75,5
0038-0038-18,Amlodipine 250 mg inhaler,1857,02/02/29,Cardinal,0038-0038-18,0.83,8
