DrugID_clean,pharm_classes
0001-0001-11,"Penicillin-class Antibacterial, Penicillins"
0002-0002-22,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors"
0003-0003-33,"Penicillin-class Antibacterial, Penicillins"
0004-0004-44,"Insulin Analog, Insulin"
0005-0005-55,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0006-0006-66,"Thyroxine, l-Thyroxine"
0007-0007-77,"Macrolide Antimicrobial, Macrolides"
0008-0008-88,"Penicillin-class Antibacterial, Penicillins"
0009-0009-99,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0010-0010-10,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists"
0011-0011-21,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors"
0012-0012-32,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0013-0013-43,"Increased Diuresis, Thiazide Diuretic, Thiazides"
0014-0014-54,"Penicillin-class Antibacterial, Penicillins"
0015-0015-65,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists"
0016-0016-76,"Biguanide, Biguanides"
0017-0017-87,"Increased Diuresis at Loop of Henle, Loop Diuretic"
0018-0018-98,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist"
0019-0019-09,"Penicillin-class Antibacterial, Penicillins"
0020-0020-20,"Increased Diuresis, Thiazide Diuretic, Thiazides"
0021-0021-31,"Macrolide Antimicrobial, Macrolides"
0022-0022-42,"Corticosteroid Hormone Receptor Agonists, Corticosteroid"
0023-0023-53,"Thyroxine, l-Thyroxine"
0024-0024-64,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors"
0025-0025-75,"Penicillin-class Antibacterial, Penicillins"
0026-0026-86,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity"
0027-0027-97,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists"
0028-0028-08,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist"
0029-0029-19,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity"
0030-0030-30,"Insulin Analog, Insulin"
0031-0031-41,"Macrolide Antimicrobial, Macrolides"
0032-0032-52,"Thyroxine, l-Thyroxine"
0033-0033-63,"Corticosteroid Hormone Receptor Agonists, Corticosteroid"
0034-0034-74,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors"
0035-0035-85,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists"
0036-0036-96,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity"
0037-0037-07,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0038-0038-18,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists"
0039-0039-29,"Biguanide, Biguanides"
0040-0040-40,"Insulin Analog, Insulin"
0041-0041-51,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors"
0042-0042-62,"Penicillin-class Antibacterial, Penicillins"
0043-0043-73,"Insulin Analog, Insulin"
0044-0044-84,"Corticosteroid Hormone Receptor Agonists, Corticosteroid"
0045-0045-95,"Penicillin-class Antibacterial, Penicillins"
0046-0046-06,"Penicillin-class Antibacterial, Penicillins"
0047-0047-17,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors"
0048-0048-28,"Biguanide, Biguanides"
0049-0049-39,"Insulin Analog, Insulin"
0050-0050-50,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
0051-0051-61,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity"
0052-0052-72,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist"
0053-0053-83,"Penicillin-class Antibacterial, Penicillins"
0054-0054-94,"Insulin Analog, Insulin"
0055-0055-05,"Insulin Analog, Insulin"
0056-0056-16,"Penicillin-class Antibacterial, Penicillins"
0057-0057-27,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists"
0058-0058-38,"Increased Diuresis at Loop of Henle, Loop Diuretic"
0059-0059-49,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors"
